47,37'22.569999999991985'';-122,20'18.049999999959777''
1,20'2.230000000000021'';103,52'12.189999999979939''
51,28'56.94996000000967'';-3,10'26.370000000000392''
33,52'31.658935546885125'';-116,18'5.830566406224347''
51,28'40.529999999996534'';-3,10'35.28995999999957''
51,27'52.51998000000408'';-3,9'51.48996000000038''
